Product code,Product name ,Unit name,Quantity,Rate,Amount,Tax,Gross amount,Month
12,7DAYS BABY WIPES,PIECE,1,8500,7203,1297,8500,January
27,ABC DENT 70G,PIECE,1,2000,1695,305,2000,January
61,AFROCARE JELLY 100G,PIECE,1,3000,2542,458,3000,January
62,AFROCARE PERFUMED GLYCERINE,PIECE,1,2500,2119,381,2500,January
66,AKABANGA CHILI OIL 20ML,PIECE,1,2500,2119,381,2500,January
88,ALWAYS LONG,PIECE,1,4200,3559,641,4200,January
91,ALWAYS ULTRA THIN,PIECE,1,3500,2966,534,3500,January
98,AMARA ALOEVERA 400ML,PIECE,1,8500,7203,1297,8500,January
111,AMARA HYDRATING GLYCERINE 400ML LOTION,PIECE,1,8500,7203,1297,8500,January
115,AMARA RAW SHEA 200ML,PIECE,1,5500,4661,839,5500,January
118,AMARA REJUVENATING ALOE 200ML,PIECE,1,6000,5085,915,6000,January
123,AMERICAN GARDEN BBQ SAUCE 510G,PIECE,1,17000,14407,2593,17000,January
131,AMERICAN GARDEN MUSTARD 14OZ,PIECE,1,15000,12712,2288,15000,January
136,AMERICAN GREEN GARDEN HONEY 200G,PIECE,1,8000,6780,1220,8000,January
209,Ariel color and style,PIECE,1,8000,6780,1220,8000,January
211,ARIEL DOWNY 1KG,PIECE,1,15500,13136,2364,15500,January
212,ARIEL DOWNY 500G,PIECE,1,8000,6780,1220,8000,January
214,ARIEL LAVENDER 1KG,PIECE,1,15500,13136,2364,15500,January
218,ARMAF AIR FRESHNER SPRING,PIECE,1,10000,8475,1525,10000,January
245,ARMF BEAU SPLASH FOR MEN,PIECE,1,16000,13559,2441,16000,January
279,ASANTEE PAPAYA SOAP,PIECE,1,6500,5508,992,6500,January
312,AUNT PORRIDGE 2KG,PIECE,1,28000,23729,4271,28000,January
331,AXE DARK TEMPTATION,PIECE,1,12000,10169,1831,12000,January
371,"BABY BASIN 20,000",PIECE,1,20000,16949,3051,20000,January
383,BABY BOTTLE 092 6000,PIECE,1,6000,5085,915,6000,January
388,BABY BOTTLES 12000,PIECE,1,12000,10169,1831,12000,January
413,BABY CUPS 3000,PIECE,1,3000,2542,458,3000,January
421,BABY DOLL LONG 50000,PIECE,1,50000,42373,7627,50000,January
443,BABY JUNIOR JELLY 24ML,PIECE,1,700,593,107,700,January
447,BABY JUNIOR100g,PIECE,1,3500,2966,534,3500,January
450,BABY LOVE TOY 15000,PIECE,1,15000,12712,2288,15000,January
466,BABY RATTLES,PIECE,1,22000,18644,3356,22000,January
480,BABY SPOONS 10000,PIECE,1,10000,8475,1525,10000,January
497,BABY& ME BABYJELLY 240ML,PIECE,1,5000,4237,763,5000,January
526,BALLET ALOE VERA 120MLS,PIECE,1,5000,4237,763,5000,January
532,BALLET BABY LOTION 240ML,PIECE,1,12000,10169,1831,12000,January
545,BALLOON NUMBERS 1500,PIECE,1,1500,1271,229,1500,January
551,BALLS 12000,PIECE,1,12000,10169,1831,12000,January
590,BASKETS 5000,PIECE,1,5000,4237,763,5000,January
667,BIRTHDAY CROWNS 5000,PIECE,1,5000,4237,763,5000,January
688,BIYINZIKA STANDARD1.2KG,PIECE,1,25000,21186,3814,25000,January
724,BLUE LADY SPRAY,PIECE,1,15000,12712,2288,15000,January
740,BODY LUXE PETROLEUM JELLY,PIECE,1,4500,3814,686,4500,January
745,BODYLUXE JELLY 500G,PIECE,1,10000,8475,1525,10000,January
765,BOTTLES 12000,PIECE,1,12000,10169,1831,12000,January
766,BOTTLES 17000,PIECE,1,17000,14407,2593,17000,January
767,BOTTLES 10000,PIECE,1,10000,8475,1525,10000,January
768,BOTTLES 13000,PIECE,1,13000,11017,1983,13000,January
769,BOTTLES 15000,PIECE,1,15000,12712,2288,15000,January
771,BOTTLES 18000,PIECE,1,18000,15254,2746,18000,January
790,BOX FILES 6000,PIECE,1,7000,5932,1068,7000,January
817,BRITANIA BUTTER 1KG,PIECE,1,20000,16949,3051,20000,January
828,BRITANIA NICE BISCUITS 1KG,PIECE,1,20000,16949,3051,20000,January
866,BUCKET 7000,PIECE,1,7000,5932,1068,7000,January
873,BUCKETS CLEAR 3000,PIECE,1,3000,2542,458,3000,January
876,BUCKETS KENPOLY 20000,PIECE,1,20000,16949,3051,20000,January
884,BUGSTONE VEST 10000,PIECE,1,10000,8475,1525,10000,January
888,BUILDING BLOCKS GOOD PARTNER 18000,PIECE,1,18000,15254,2746,18000,January
907,C.B DOULBLES CHOCOLATE,PIECE,1,3000,2542,458,3000,January
941,CADBURY DAIRYMILK 10G CHOCOLATE,PIECE,1,1500,1271,229,1500,January
945,CADBURY DRINKING CHOCOLATE 450G,PIECE,1,22000,18644,3356,22000,January
1011,CAR TOYS 3000,PIECE,1,3000,2542,458,3000,January
1020,CARDS 2500,PIECE,1,2500,2119,381,2500,January
1025,CARPET BRUSH 7000,PIECE,1,7000,5932,1068,7000,January
1038,CASIO 401/991MS CALCULATOR,PIECE,1,45000,38136,6864,45000,January
1060,CELOTAPE BLACK,PIECE,1,1500,1271,229,1500,January
1062,CELOTAPE BROWN SMALL,PIECE,1,3000,2542,458,3000,January
1098,CHAPATI ROLLER 25000,PIECE,1,20000,16949,3051,20000,January
1108,CHASTITY RASASI SPRAY,PIECE,1,12000,10169,1831,12000,January
1163,CLAIRMEN CREAM 120ML,PIECE,1,7000,5932,1068,7000,January
1166,PICFARE GOLD 96PGS,PIECE,1,1000,847,153,1000,January
1182,CLEOS HOT SAUCE 125G,PIECE,1,3500,2966,534,3500,January
1186,CLERE BABY JELLY 100G,PIECE,1,3000,2542,458,3000,January
1199,CLIMAX EXOTIC TROPICAL FRUITS 170G,PIECE,1,6000,5085,915,6000,January
1235,COCONUT PRADIP,PIECE,1,4500,3814,686,4500,January
1279,COMB WITH MIRROR 1500,PIECE,1,1500,1271,229,1500,January
1306,CONTAINERS 3500,PIECE,1,5000,4237,763,5000,January
1348,COW&GATE 3 NUTRIJUNIOR,PIECE,1,44000,37288,6712,44000,January
1351,CRANE BOOK 96PGS,PIECE,1,1000,847,153,1000,January
1380,CUPS 7000,PIECE,1,7000,5932,1068,7000,January
1393,CUSSONS BABY OIL PINK 200MLS,PIECE,1,16000,13559,2441,16000,January
1397,CUSSONS BABY UNPERFUMED JELLY 200ML,PIECE,1,12000,10169,1831,12000,January
1420,D.L CHOCO BOMB 70ML,PIECE,1,2500,2119,381,2500,January
1441,D.L VANILLA 1LTR,PIECE,1,18000,15254,2746,18000,January
1446,D.L VAN-STRAW 1LTR,PIECE,1,18000,15254,2746,18000,January
1457,DAIRIES 12000,PIECE,1,12000,10169,1831,12000,January
1458,DAIRIES 17000,PIECE,1,15000,12712,2288,15000,January
1500,DEAR BODY THURSDAY BODY MIST,PIECE,1,16000,13559,2441,16000,January
1515,DEMICH SKIMMED MILK 500G,PIECE,1,16000,13559,2441,16000,January
1544,DETTOL EVENTONE 175G,PIECE,1,6500,5508,992,6500,January
1551,DETTOL HERBAL 175G,PIECE,1,6500,5508,992,6500,January
1553,DETTOL LIQUID 250 MLS,PIECE,1,15000,12712,2288,15000,January
1643,DOLL 4000,PIECE,1,4000,3390,610,4000,January
1644,DOLL 8000,PIECE,1,8000,6780,1220,8000,January
1655,DOLLS 8000 WANJU,PIECE,1,8000,6780,1220,8000,January
1656,DOLLS BABY 35000,PIECE,1,35000,29661,5339,35000,January
1659,DOLLS MOTHER 6000,PIECE,1,6000,5085,915,6000,January
1667,DOMS COLOUR PENCILS SHORT,PIECE,1,4000,3390,610,4000,January
1670,DOMS PENCILS A1 5000,PIECE,1,5000,4237,763,5000,January
1697,DOVE CUCUMBER&GREENTEA SHOWERGEL,PIECE,1,20000,16949,3051,20000,January
1703,DOVE GLOWINGRITUAL 750ML,PIECE,1,27000,22881,4119,27000,January
1709,DOVE INVIGORATING 750ML,PIECE,1,27000,22881,4119,27000,January
1715,DOVE MEN SOAP ULTRA,PIECE,1,7500,6356,1144,7500,January
1759,DRINKING CHOCOLATE 225G,PIECE,1,13000,11017,1983,13000,January
1772,DURU CARING MILK,PIECE,1,4500,3814,686,4500,January
1774,DURU DOLCE ALMOND,PIECE,1,4500,3814,686,4500,January
1776,DURU FLORAL INFUSION,PIECE,1,14000,11864,2136,14000,January
1783,DURU MISKET 4PCS,PIECE,1,16000,13559,2441,16000,January
1786,DURU NATURAL OLIVE 720G,PIECE,1,18000,15254,2746,18000,January
1799,DUSTBIN 7000,PIECE,1,7000,5932,1068,7000,January
1816,EAST AFRICAN HONEY 350G,PIECE,1,13000,11017,1983,13000,January
1820,EAST AFRICAN ORGANIC HONEY 450G,PIECE,1,12000,10169,1831,12000,January
1825,ECO STYLING GEL 236ML,PIECE,1,11000,9322,1678,11000,January
1840,EDEN BODY MILK 500ML,PIECE,1,25000,21186,3814,25000,January
1853,EGGS HALF TRAY,PIECE,1,7000,5932,1068,7000,January
1861,ELEGANCE COCOA BUTTER,PIECE,1,6000,5085,915,6000,January
1869,ELEGANT BLACK A.F,PIECE,1,7000,5932,1068,7000,January
1890,ELGON BLEND 250G,PIECE,1,14000,11864,2136,14000,January
1909,ENVELOPES 1000,PIECE,1,1000,847,153,1000,January
1938,F.D FLAVOURED MILK BOX46000,BOX,1,45000,38136,6864,45000,January
1948,F.D PLAIN 250G,PIECE,1,2500,2119,381,2500,January
1983,FA MEN ATTRACTION FORCE,PIECE,1,6500,5508,992,6500,January
1995,FA WHITENING & CARE,PIECE,1,6500,5508,992,6500,January
