product_name,month,max_quantity
10LTR JERRICAN 6000,August,1
10LTR JERRICAN 6000,February,3
10LTR JERRICAN 6000,March,1
180ML DISPOSABLE GLASSES,April,6
180ML DISPOSABLE GLASSES,August,24
180ML DISPOSABLE GLASSES,February,9
180ML DISPOSABLE GLASSES,January,3
180ML DISPOSABLE GLASSES,July,4
180ML DISPOSABLE GLASSES,June,8
180ML DISPOSABLE GLASSES,March,11
180ML DISPOSABLE GLASSES,May,3
180ML DISPOSABLE GLASSES,September,3
20LTR JERRICAN,April,2
20LTR JERRICAN,January,2
20LTR JERRICAN,March,3
20LTR JERRICAN,May,2
300MLS DISPOSABLE GLASSES,April,5
300MLS DISPOSABLE GLASSES,August,9
300MLS DISPOSABLE GLASSES,January,3
300MLS DISPOSABLE GLASSES,July,5
300MLS DISPOSABLE GLASSES,June,9
300MLS DISPOSABLE GLASSES,March,9
300MLS DISPOSABLE GLASSES,May,3
300MLS DISPOSABLE GLASSES,September,7
354 HONEY,July,1
500MLS DISPOSABLE GLASSES,April,9
500MLS DISPOSABLE GLASSES,August,10
500MLS DISPOSABLE GLASSES,February,7
500MLS DISPOSABLE GLASSES,January,2
500MLS DISPOSABLE GLASSES,July,6
500MLS DISPOSABLE GLASSES,June,3
500MLS DISPOSABLE GLASSES,March,6
500MLS DISPOSABLE GLASSES,May,2
500MLS DISPOSABLE GLASSES,September,1
5LTR JERRICAN 3000,April,4
5LTR JERRICAN 3000,February,1
5LTR JERRICAN 3000,March,10
5LTR JERRICAN 3000,September,1
60K DIARY NOTE BOOK,July,1
7 DAYS BABY WIPES,August,2
7 DAYS BABY WIPES,January,1
7 DAYS BABY WIPES,July,3
7 DAYS BABY WIPES,June,1
7 DAYS BABY WIPES,March,3
7 DAYS BABY WIPES,September,2
7 DAYS WIPES,August,8
7 DAYS WIPES,February,1
7 DAYS WIPES,July,4
7 DAYS WIPES,March,6
7 DAYS WIPES,September,1
7DAYS ANTIBACTERIAL BABY WIPES,April,3
7DAYS ANTIBACTERIAL BABY WIPES,August,2
7DAYS ANTIBACTERIAL BABY WIPES,January,3
7DAYS ANTIBACTERIAL BABY WIPES,July,4
7DAYS ANTIBACTERIAL BABY WIPES,June,3
