iter	RMSE
0	0.9388729356
1	0.9308533811
2	0.9223299787
3	0.9161647651
4	0.9080059768
5	0.9010559591
6	0.894760978
7	0.8879656193
8	0.8827487519
9	0.876036654
10	0.8701084198
11	0.8640184515
12	0.8583903871
13	0.8532240668
14	0.8486733382
15	0.8441899532
16	0.8409719763
17	0.8359215599
18	0.8308259185
19	0.8261448714
20	0.8201838964
21	0.8160852265
22	0.8113212217
23	0.8065335484
24	0.8002725744
25	0.7965354237
26	0.7927012833
27	0.7890655965
28	0.7854225912
29	0.7814202506
30	0.7777835726
31	0.7741347746
32	0.7721337451
33	0.7693947086
34	0.7666276596
35	0.7627490812
36	0.7591867863
37	0.7571798175
38	0.7539833274
39	0.7511152861
40	0.7467080394
41	0.7424639066
42	0.7395477296
43	0.7365627912
44	0.7345294804
45	0.7318611571
46	0.7274946529
47	0.7259747615
48	0.7242673982
49	0.7221092051
50	0.7201607256
51	0.7186071683
52	0.7177065292
53	0.7157123119
54	0.7142224827
55	0.7108798157
56	0.7094750944
57	0.7075914498
58	0.7062899042
59	0.7028141451
60	0.6995955261
61	0.6977636822
62	0.6961064496
63	0.6943786276
64	0.6930038763
65	0.6915479966
66	0.6898694467
67	0.6876603732
68	0.6861765732
69	0.6845170208
70	0.6819942356
71	0.680741791
72	0.6795615676
73	0.6781491582
74	0.6765172192
75	0.6749338348
76	0.6741403125
77	0.6727037942
78	0.6695497092
79	0.6679503788
80	0.6651877772
81	0.6645763908
82	0.6614119393
83	0.6596751104
84	0.6585278877
85	0.6570146543
86	0.6562224619
87	0.6550918219
88	0.6539022424
89	0.653681562
90	0.6514190084
91	0.6505356491
92	0.649638554
93	0.6477703861
94	0.6469075221
95	0.6456495956
96	0.6439429726
97	0.6431583951
98	0.641645872
99	0.6402105409
100	0.6385283765
101	0.6375802133
102	0.6364952968
103	0.6355281764
104	0.6345817669
105	0.6327813824
106	0.6311671081
107	0.6304261997
108	0.6296020889
109	0.6283401855
110	0.6268392974
111	0.6262711658
112	0.6256260357
113	0.6249623231
114	0.6239249101
115	0.6229504296
116	0.6218377984
117	0.6206374385
118	0.6185692031
119	0.6179005057
120	0.6163322788
121	0.6144756038
122	0.6126705608
123	0.6115846516
124	0.6101623325
125	0.6090968835
126	0.6080359493
127	0.6065270143
128	0.6055532078
129	0.6048894693
130	0.6040195
131	0.6025707608
132	0.6007880008
133	0.6003332036
134	0.5997397436
135	0.598138606
136	0.5965447316
137	0.5958844666
138	0.594849076
139	0.5929195271
140	0.5918105299
141	0.5906419524
142	0.5889972872
143	0.588789438
144	0.5881689729
145	0.586922448
146	0.5861478879
147	0.5849942794
148	0.5838062918
149	0.5834617463
150	0.5826918408
151	0.5818369069
152	0.5806901153
153	0.5800714826
154	0.5790715563
155	0.577608961
156	0.5762547299
157	0.575407428
158	0.5743534299
159	0.5733372403
160	0.5726580307
161	0.5719707607
162	0.5715494512
163	0.5704201948
164	0.5693389489
165	0.5684947684
166	0.5678745075
167	0.5670859421
168	0.5662780878
169	0.5652392653
170	0.5645543874
171	0.5633931139
172	0.5626989108
173	0.5618902923
174	0.5614191805
175	0.5609428386
176	0.5602146095
177	0.5592950191
178	0.5591001676
179	0.5585761804
180	0.558204255
181	0.5573557365
182	0.5565633045
183	0.5558345105
184	0.555725408
185	0.5552705922
186	0.5544892294
187	0.5541420088
188	0.5527778637
189	0.5519932779
190	0.5501121753
191	0.5494034765
192	0.5480848517
193	0.5471776012
194	0.5466795523
195	0.5464214934
196	0.5460752818
197	0.5458080359
198	0.545647118
199	0.5439646452
200	0.5432700302
201	0.5422083179
202	0.5416640249
203	0.5413006874
204	0.5409519302
205	0.5397498579
206	0.5381895922
207	0.5379538525
208	0.5362023497
209	0.5357372227
210	0.5355485298
211	0.5352307815
212	0.5343964112
213	0.5339813107
214	0.5337536161
215	0.5330667329
216	0.5324105783
217	0.5318770868
218	0.5303200786
219	0.5300391676
220	0.5288155063
221	0.5271857764
222	0.5269120789
223	0.5259012243
224	0.5251681439
225	0.5244191371
226	0.5230702927
227	0.5216470324
228	0.5213935177
229	0.520026496
230	0.5186411052
231	0.5174201095
232	0.5172133867
233	0.5157680225
234	0.5155831824
235	0.5151469811
236	0.5144552596
237	0.5134738321
238	0.5132347742
239	0.5119763845
240	0.5117406293
241	0.511221037
242	0.5098621914
243	0.5081069243
244	0.5075740409
245	0.5071603791
246	0.5069345639
247	0.5051752773
248	0.5039594899
249	0.5032023566
250	0.5014171622
251	0.5012186678
252	0.5002762822
253	0.5000891958
254	0.4994453286
255	0.4992844225
256	0.4990871248
257	0.4986948849
258	0.4984827116
259	0.4975866702
260	0.4974116674
261	0.4962766874
262	0.4960983248
263	0.4959265235
264	0.4954319668
265	0.4942755167
266	0.4935406462
267	0.4933477204
268	0.4928786612
269	0.4921533378
270	0.4910412383
271	0.4908879142
272	0.4901582077
273	0.4899865239
274	0.4898039957
275	0.4891967655
276	0.4890458004
277	0.4885487062
278	0.488061104
279	0.4872704911
280	0.4868326573
281	0.4866856786
282	0.4861544798
283	0.4848163585
284	0.4846347115
285	0.4844569129
286	0.4842809486
287	0.4841315855
288	0.4838582148
289	0.48372239
290	0.483188009
291	0.4821428411
292	0.481435946
293	0.4812727377
294	0.4790838731
295	0.4789228768
296	0.4785189249
297	0.4780792927
298	0.4774360365
299	0.4772903862
300	0.4766631828
301	0.4765093232
302	0.4753092905
303	0.4747087996
304	0.4731568352
305	0.4719165886
306	0.471785172
307	0.4716350633
308	0.4711976777
309	0.4710504451
310	0.4708958367
311	0.4706336053
312	0.4702601667
313	0.469396962
314	0.4692741109
315	0.4685801413
316	0.467764652
317	0.4673684367
318	0.4652977772
319	0.4651482485
320	0.4636613247
321	0.4627068255
322	0.4613631716
323	0.4606823758
324	0.4601363196
325	0.4587314812
326	0.4579753001
327	0.4574750492
328	0.4573321195
329	0.4572303651
330	0.4565308969
331	0.4553310823
332	0.4546520609
333	0.4545566362
334	0.4534452353
335	0.4529044324
336	0.4527774096
337	0.4521267613
338	0.4513043734
339	0.4503216141
340	0.4502158238
341	0.4495647269
342	0.4494439628
343	0.4489500522
344	0.4488315371
345	0.4482113036
346	0.4475756991
347	0.4474706219
348	0.4473812617
349	0.4468119953
350	0.4461839299
351	0.4460561914
352	0.4458273229
353	0.4452105836
354	0.4450891741
355	0.4438999281
356	0.4438073743
357	0.4433680023
358	0.4432419324
359	0.4426086288
360	0.4422144082
361	0.4414719389
362	0.4403977462
363	0.4393078303
364	0.4389052644
365	0.4378993533
366	0.4376369608
367	0.436949712
368	0.4365112466
369	0.4353201906
370	0.4347795335
371	0.4337346983
372	0.4328033907
373	0.4318639079
374	0.4315028405
375	0.4307413471
376	0.4302033502
377	0.4292213169
378	0.4291149715
379	0.4282089769
380	0.4277879031
381	0.4269929648
382	0.4263421563
383	0.4258006099
384	0.4252779253
385	0.4247619842
386	0.4239465812
387	0.4238420855
388	0.4234332048
389	0.4230531369
390	0.4222813903
391	0.4221251794
392	0.4219567944
393	0.4216543968
394	0.4211650168
395	0.4206140416
396	0.420315749
397	0.4198449986
398	0.4196597114
399	0.4195757158
400	0.4194714439
401	0.4187029564
402	0.41863905
403	0.4185540209
404	0.4180941319
405	0.4175207554
406	0.4167265145
407	0.4165879995
408	0.4164976911
409	0.4159377975
410	0.415446598
411	0.4150334869
412	0.414281551
413	0.4134560062
414	0.413386719
415	0.4132992798
416	0.4125625635
417	0.4115369605
418	0.4114311662
419	0.4113465835
420	0.4107404354
421	0.410644526
422	0.4099487252
423	0.4092424905
424	0.4091742772
425	0.408464982
426	0.4079319994
427	0.4075334291
428	0.4070732832
429	0.4059493148
430	0.4058677645
431	0.4053444061
432	0.4052825964
433	0.4044029996
434	0.4038221575
435	0.4032392456
436	0.4031666663
437	0.4031137344
438	0.4026381019
439	0.4018707472
440	0.400947284
441	0.4004208168
442	0.3996880533
443	0.3986915432
444	0.3984502246
445	0.3982725579
446	0.3979730091
447	0.3977403307
448	0.3971780479
449	0.3964238041
450	0.3959967104
451	0.3953303957
452	0.3952338165
453	0.3942046657
454	0.3941024397
455	0.3931396983
456	0.3928558292
457	0.3917720464
458	0.3902704157
459	0.3898353454
460	0.3894321313
461	0.3891895576
462	0.3890213525
463	0.3880997634
464	0.3874720015
465	0.386907768
466	0.3868377713
467	0.3862134587
468	0.3855011378
469	0.3850886214
470	0.3849397359
471	0.3848791237
472	0.3840550757
473	0.3833187689
474	0.3827776075
475	0.3823291267
476	0.3816643621
477	0.3808664189
478	0.3802382134
479	0.3800808578
480	0.3792550113
481	0.3789141408
482	0.3784902006
483	0.37780287
484	0.3777471811
485	0.3770954924
486	0.3769969298
487	0.3762902789
488	0.3758736345
489	0.3754974485
490	0.3750075658
491	0.374534085
492	0.3741497871
493	0.3739862436
494	0.3736252248
495	0.3729609485
496	0.3723383992
497	0.371681593
498	0.3712268836
499	0.3706140909
500	0.3699423171
501	0.3698191942
502	0.3689991691
503	0.3682988269
504	0.367745595
505	0.3676504646
506	0.3675141119
507	0.3674640417
508	0.3673895674
509	0.3672480482
510	0.3668869715
511	0.3664350324
512	0.3662043774
513	0.3660280973
514	0.3651107671
515	0.365068569
516	0.3642667878
517	0.3640239046
518	0.3634264663
519	0.3631524173
520	0.3627218216
521	0.3626372298
522	0.3620862319
523	0.3619470228
524	0.3618848989
525	0.3617629341
526	0.3613764433
527	0.3605784864
528	0.360225655
529	0.3600733427
530	0.3597570868
531	0.3593509006
532	0.358899551
533	0.3587373711
534	0.3583401288
535	0.3580675963
536	0.3579514155
537	0.357902816
538	0.3575703679
539	0.3574322597
540	0.3573985977
541	0.3569683691
542	0.3569144751
543	0.3568670368
544	0.3565804514
545	0.3561509253
546	0.355849692
547	0.3557204031
548	0.3555166862
549	0.3551510953
550	0.3549322299
551	0.3548313827
552	0.3544336462
553	0.3538645587
554	0.3534601788
555	0.3530852991
556	0.3527427136
557	0.3525179377
558	0.3520088763
559	0.3516652704
560	0.3513712148
561	0.3506163714
562	0.3505423788
563	0.3500896125
564	0.350050354
565	0.3494524031
566	0.3491639816
567	0.3482414015
568	0.3479254029
569	0.3471244308
570	0.3470466425
571	0.3470121878
572	0.3466190272
573	0.3464827552
574	0.3460651123
575	0.3460224352
576	0.3455415665
577	0.3453282761
578	0.345250636
579	0.3451723817
580	0.3449167574
581	0.3446947076
582	0.344087357
583	0.3439691596
584	0.3437518817
585	0.3433248204
586	0.3432165764
587	0.3431246533
588	0.3423490672
589	0.3420742451
590	0.3414493237
591	0.3410402662
592	0.3406968381
593	0.3400359871
594	0.3397823638
595	0.3397097248
596	0.3395345168
597	0.3392349837
598	0.3390407254
599	0.3390058469
600	0.3389258836
601	0.3388980951
602	0.3382528007
603	0.337889431
604	0.3372957383
605	0.3372328072
606	0.336933212
607	0.336624285
608	0.336204499
609	0.3361589893
610	0.335520818
611	0.3352615886
612	0.3349174012
613	0.3347459067
614	0.3340733281
615	0.3340143735
616	0.33380852
617	0.3331207322
618	0.3324700458
619	0.3321208693
620	0.3320274269
621	0.3315101767
622	0.3311313915
623	0.3310904393
624	0.3307882503
625	0.3305060406
626	0.3300099203
627	0.329677464
628	0.3296355193
629	0.3293208041
630	0.3289874566
631	0.3285590092
632	0.328160774
633	0.3279286488
634	0.3275740372
635	0.3272933327
636	0.3271099716
637	0.3262818808
638	0.3261973541
639	0.3258827623
640	0.3254541643
641	0.3251201316
642	0.324855615
643	0.324563616
644	0.324387053
645	0.3240676906
646	0.3235028008
647	0.322746635
648	0.3226975694
649	0.3225974397
650	0.3218898359
651	0.321532609
652	0.3213673511
653	0.3211149628
654	0.3208544955
655	0.3206729754
656	0.3206054545
657	0.3202785939
658	0.3200183407
659	0.3198515165
660	0.3198045878
661	0.3195792057
662	0.3190710401
663	0.3188027305
664	0.3186967041
665	0.3185065141
666	0.3180032922
667	0.3173016933
668	0.3170181861
669	0.3167467548
670	0.3160326244
671	0.3159752688
672	0.3156890505
673	0.3150145511
674	0.3147231903
675	0.314126474
676	0.3136967308
677	0.3131608487
678	0.3130690712
679	0.3128054246
680	0.3125593245
681	0.3122962405
682	0.3122294997
683	0.3116542055
684	0.3111984835
685	0.3109005327
686	0.3108497809
687	0.3107340391
688	0.310354823
689	0.3102104429
690	0.3095427284
691	0.3092734588
692	0.308750397
693	0.3086199016
694	0.3082834597
695	0.3079232724
696	0.3073202768
697	0.3072767541
698	0.3066128451
699	0.306572132
700	0.3058356998
