iter	Passed	Remaining
0	4	4849
1	6	3482
2	9	3028
3	11	2745
4	12	2565
5	14	2455
6	17	2550
7	20	2577
8	23	2557
9	25	2550
10	28	2553
11	30	2544
12	37	2852
13	40	2831
14	44	2927
15	46	2886
16	84	4858
17	86	4694
18	88	4544
19	89	4409
20	95	4455
21	97	4337
22	99	4227
23	101	4130
24	103	4037
25	105	3950
26	111	4033
27	172	5980
28	175	5867
29	200	6468
30	201	6312
31	203	6166
32	206	6063
33	208	5936
34	210	5813
35	212	5697
36	214	5589
37	216	5489
38	218	5394
39	221	5316
40	223	5235
41	225	5151
42	227	5071
43	229	4993
44	231	4920
45	233	4849
46	246	5000
47	248	4929
48	250	4860
49	252	4797
50	254	4737
51	259	4722
52	260	4648
53	262	4591
54	265	4557
55	267	4512
56	269	4454
57	271	4404
58	273	4355
59	275	4308
60	299	4602
61	302	4573
62	304	4529
63	306	4486
64	308	4443
65	313	4438
66	316	4404
67	345	4735
68	348	4707
69	352	4688
70	354	4642
71	356	4598
72	360	4581
73	362	4540
74	364	4498
75	366	4458
76	368	4411
77	370	4374
78	372	4338
79	375	4315
80	377	4282
81	379	4248
82	381	4215
83	383	4183
84	385	4151
85	388	4127
86	390	4101
87	392	4070
88	395	4044
89	395	4001
90	397	3971
91	399	3942
92	401	3916
93	403	3892
94	405	3866
95	408	3843
96	410	3818
97	412	3793
98	414	3768
99	416	3745
100	418	3721
101	420	3700
102	422	3679
103	424	3654
104	426	3631
105	427	3607
106	429	3586
107	431	3567
108	433	3545
109	435	3526
110	438	3510
111	440	3493
112	442	3472
113	444	3451
114	445	3431
115	448	3417
116	450	3399
117	451	3378
118	453	3359
119	455	3340
120	457	3323
121	459	3307
122	463	3302
123	465	3286
124	467	3269
125	468	3251
126	470	3234
127	472	3217
128	474	3202
129	476	3191
130	478	3176
131	480	3161
132	482	3145
133	484	3129
134	485	3113
135	487	3097
136	489	3084
137	491	3072
138	493	3058
139	495	3044
140	497	3029
141	499	3015
142	500	3001
143	502	2988
144	505	2979
145	508	2973
146	510	2962
147	512	2950
148	514	2937
149	516	2924
150	517	2910
151	520	2903
152	522	2892
153	524	2880
154	526	2868
155	528	2857
156	529	2845
157	531	2833
158	533	2823
159	536	2815
160	538	2805
161	540	2795
162	542	2784
163	544	2775
164	546	2765
165	548	2758
166	551	2751
167	553	2742
168	555	2732
169	557	2722
170	559	2712
171	561	2703
172	563	2692
173	565	2683
174	567	2673
175	569	2667
176	571	2658
177	573	2649
178	575	2640
179	577	2631
180	579	2624
181	581	2615
182	583	2605
183	585	2597
184	586	2583
185	588	2577
186	590	2569
187	593	2561
188	595	2554
189	597	2546
190	599	2538
191	601	2530
192	603	2521
193	605	2513
194	608	2510
195	610	2503
196	612	2494
197	613	2486
198	614	2474
199	616	2466
200	618	2457
201	621	2453
202	623	2446
203	625	2439
204	627	2432
205	630	2429
206	632	2421
207	633	2413
208	636	2408
209	638	2402
210	640	2395
211	642	2387
212	644	2380
213	645	2372
214	647	2364
215	649	2358
216	652	2352
217	653	2345
218	655	2338
219	657	2332
220	659	2325
221	661	2318
222	663	2311
223	665	2306
224	668	2301
225	669	2294
226	671	2287
227	673	2279
228	675	2272
229	676	2266
230	678	2258
231	681	2256
232	685	2255
233	687	2249
234	688	2240
235	690	2233
236	692	2228
237	693	2221
238	696	2216
239	698	2211
240	700	2205
