product_code,product_name,unit_name,quantity,rate,amount,tax,gross_amount,month
12,7 DAYS BABY WIPES,Piece,1,8500,8500,0,8500,January
27,ABC DENT 70G,Piece,1,2000,2000,0,2000,January
61,AFROCARE JELLY 100G,Piece,1,3000,3000,0,3000,January
62,AFROCARE PERFUMED GLYCERINE,Piece,1,2500,2500,0,2500,January
66,AKABANGA CHILI OIL 20ML,Piece,1,2500,2500,0,2500,January
88,ALWAYS LONG,Piece,1,4200,4200,0,4200,January
91,ALWAYS ULTRA THIN,Piece,1,3500,3500,0,3500,January
98,AMARA ALOEVERA 400ML,Piece,1,8500,8500,0,8500,January
111,AMARA HYDRATING GLYCERINE 400ML LOTION,Piece,1,8500,8500,0,8500,January
115,AMARA RAW SHEA 200ML,Piece,1,5500,5500,0,5500,January
118,AMARA REJUVENATING ALOE 200ML,Piece,1,6000,6000,0,6000,January
123,AMERICAN GARDEN BBQ SAUCE 510G,Piece,1,17000,17000,0,17000,January
131,AMERICAN GARDEN MUSTARD 14OZ,Piece,1,15000,15000,0,15000,January
136,AMERICAN GREEN GARDEN HONEY 200G,Piece,1,8000,8000,0,8000,January
209,Ariel color and style,Piece,1,8000,8000,0,8000,January
211,ARIEL DOWNY 1KG,Piece,1,15500,15500,0,15500,January
212,ARIEL DOWNY 500G,Piece,1,8000,8000,0,8000,January
214,ARIEL LAVENDER 1KG,Piece,1,15500,15500,0,15500,January
218,ARMAF AIR FRESHNER SPRING,Piece,1,10000,10000,0,10000,January
245,ARMF BEAU SPLASH FOR MEN,Piece,1,16000,16000,0,16000,January
279,ASANTEE PAPAYA SOAP,Piece,1,6500,6500,0,6500,January
312,AUNT PORRIDGE 2KG,Piece,1,17500,17500,10500,28000,January
331,AXE DARK TEMPTATION,Piece,1,12000,12000,0,12000,January
371,"BABY BASIN 20,000",Piece,1,17500,17500,2500,20000,January
383,BABY BOTTLE 092 6000,Piece,1,6000,6000,0,6000,January
388,BABY BOTTLES 12000,Piece,1,12000,12000,0,12000,January
413,BABY CUPS 3000,Piece,1,3000,3000,0,3000,January
421,BABY DOLL LONG 50000,Piece,1,17500,17500,32500,50000,January
443,BABY JUNIOR JELLY 24ML,Piece,1,700,700,0,700,January
447,BABY JUNIOR100g,Piece,1,3500,3500,0,3500,January
450,BABY LOVE TOY 15000,Piece,1,15000,15000,0,15000,January
466,BABY RATTLES,Piece,1,17500,17500,4500,22000,January
480,BABY SPOONS 10000,Piece,1,10000,10000,0,10000,January
497,BABY& ME BABYJELLY 240ML,Piece,1,5000,5000,0,5000,January
526,BALLET ALOE VERA 120MLS,Piece,1,5000,5000,0,5000,January
532,BALLET BABY LOTION 240ML,Piece,1,12000,12000,0,12000,January
545,BALLOON NUMBERS 1500,Piece,1,1500,1500,0,1500,January
551,BALLS 12000,Piece,1,12000,12000,0,12000,January
590,BASKETS 5000,Piece,1,5000,5000,0,5000,January
667,BIRTHDAY CROWNS 5000,Piece,1,5000,5000,0,5000,January
688,BIYINZIKA STANDARD1.2KG,Piece,1,17500,17500,7500,25000,January
724,BLUE LADY SPRAY,Piece,1,15000,15000,0,15000,January
740,BODY LUXE PETROLEUM JELLY,Piece,1,4500,4500,0,4500,January
745,BODYLUXE JELLY 500G,Piece,1,10000,10000,0,10000,January
765,BOTTLES 12000,Piece,1,12000,12000,0,12000,January
766,BOTTLES 17000,Piece,1,17000,17000,0,17000,January
767,BOTTLES 10000,Piece,1,10000,10000,0,10000,January
768,BOTTLES 13000,Piece,1,13000,13000,0,13000,January
769,BOTTLES 15000,Piece,1,15000,15000,0,15000,January
771,BOTTLES 18000,Piece,1,17500,17500,500,18000,January
790,BOX FILES 6000,Piece,1,7000,7000,0,7000,January
817,BRITANIA BUTTER 1KG,Piece,1,17500,17500,2500,20000,January
828,BRITANIA NICE BISCUITS 1KG,Piece,1,17500,17500,2500,20000,January
866,BUCKET 7000,Piece,1,7000,7000,0,7000,January
873,BUCKETS CLEAR 3000,Piece,1,3000,3000,0,3000,January
876,BUCKETS KENPOLY 20000,Piece,1,17500,17500,2500,20000,January
884,BUGSTONE VEST 10000,Piece,1,10000,10000,0,10000,January
888,BUILDING BLOCKS GOOD PARTNER 18000,Piece,1,17500,17500,500,18000,January
907,C.B DOULBLES CHOCOLATE,Piece,1,3000,3000,0,3000,January
941,CADBURY DAIRYMILK 10G CHOCOLATE,Piece,1,1500,1500,0,1500,January
945,CADBURY DRINKING CHOCOLATE 450G,Piece,1,17500,17500,4500,22000,January
1011,CAR TOYS 3000,Piece,1,3000,3000,0,3000,January
1020,CARDS 2500,Piece,1,2500,2500,0,2500,January
1025,CARPET BRUSH 7000,Piece,1,7000,7000,0,7000,January
1038,CASIO 401/991MS CALCULATOR,Piece,1,17500,17500,27500,45000,January
1060,CELOTAPE BLACK,Piece,1,1500,1500,0,1500,January
1062,CELOTAPE BROWN SMALL,Piece,1,3000,3000,0,3000,January
1098,CHAPATI ROLLER 25000,Piece,1,17500,17500,2500,20000,January
1108,CHASTITY RASASI SPRAY,Piece,1,12000,12000,0,12000,January
1163,CLAIRMEN CREAM 120ML,Piece,1,7000,7000,0,7000,January
1166,PICFARE GOLD 96PGS,Piece,1,1000,1000,0,1000,January
1182,CLEOS HOT SAUCE 125G,Piece,1,3500,3500,0,3500,January
1186,CLERE BABY JELLY 100G,Piece,1,3000,3000,0,3000,January
1199,CLIMAX EXOTIC TROPICAL FRUITS 170G,Piece,1,6000,6000,0,6000,January
1235,COCONUT PRADIP,Piece,1,4500,4500,0,4500,January
1279,COMB WITH MIRROR 1500,Piece,1,1500,1500,0,1500,January
1306,CONTAINERS 3500,Piece,1,5000,5000,0,5000,January
