product_name,gross_amount,quantity,tax,product_code
WHITE STAR SOAP 1KG,958500,234,-597158,6572
JAMIES SWEET WHITE BREAD 500,958500,234,256500,2757
JAMIES SWEET CAKE BREAD 1KG,958500,234,-353928,2754
BEAN STEW 2000,958500,234,495414,6807
JAMIES SWEET BUNS BROWN 6PCS WHOLESALE,958500,234,373500,7497
LATO MILK 400G,958500,88,-581500,3294
JAMIES SWEET BROWN BREAD1KG,958500,234,-328500,2751
JAMIES SWEET BROWN BREAD 500G,958500,234,256500,2752
JAMIES SWEET BROWN 500G WHOLE SALE 2500,958500,234,373500,7398
F.D STRAWBERRY 450G,958500,234,92700,1957
